# This file is part of tsunami_lab.
# @author Alexander Breuer, alex.breuer AT uni-jena.de
#
# This file contains a collection of middle state water heights $h^*$ for the homogenous
# shallow water equations and given initial values $\begin{bmatrix}h \\  hu \end{bmatrix}_l$ and
# $\begin{bmatrix} h \\ hu \end{bmatrix}_r$ in a Riemann problem.
#
hLeft,hRight,huLeft,huRight,hStar
3822.972675852066,3822.972675852066,-3.327805366151179,3.327805366151179,3822.955491928629
2147.509920460087,2147.509920460087,-138.7308661966356,138.7308661966356,2146.554218056072
2742.688980672187,2742.688980672187,267.4573344066677,-267.4573344066677,2744.319763973371
6729.15599754974,6729.15599754974,-210.4193680517961,210.4193680517961,6728.337046967772
5169.834096564512,5169.834096564512,-56.99725727034494,56.99725727034494,5169.581006069367
3841.276795649113,3841.276795649113,299.5656738474751,-299.5656738474751,3842.820141831688
9075.241102511185,9075.241102511185,-817.6033901871887,817.6033901871887,9072.501129342252
6392.939667661208,6392.939667661208,-158.8955227470761,158.8955227470761,6392.305190377589
6004.730973364118,6004.730973364118,143.1297746598628,-143.1297746598628,6005.32071171222
10018.60639001302,10018.60639001302,532.3746184438161,-532.3746184438161,10020.30462421293
3122.31960257494,3122.31960257494,32.24481705124519,-32.24481705124519,3122.503846485193
8270.998102576408,8270.998102576408,-665.7837577252465,665.7837577252465,8268.660939327943
8233.082896804004,8233.082896804004,-179.0060159524065,179.0060159524065,8232.453037465852
4155.709986511821,4155.709986511821,166.0788149517619,-166.0788149517619,4156.532567382171
6202.415781641591,6202.415781641591,276.5301935856344,-276.5301935856344,6203.536889091102
828.6564048973439,828.6564048973439,41.8896500231276,-41.8896500231276,829.1210761870525
589.3971461953499,589.3971461953499,-49.23443055697827,49.23443055697827,588.7498379924385
5798.001671517009,5798.001671517009,-296.1034211829369,296.1034211829369,5796.760172147813
8510.943654404269,8510.943654404269,795.4241089767877,-795.4241089767877,8513.696681592937
10202.29870383537,10202.29870383537,-506.0981271565004,506.0981271565004,10200.69901989738
1419.065515158554,1419.065515158554,17.69763020263483,-17.69763020263483,1419.215515022438
6213.360847706961,6213.360847706961,293.3846194878283,-293.3846194878283,6214.549241333074
5127.253972278782,5127.253972278782,390.0555724753567,-390.0555724753567,5128.993319912317
130.1063051620598,130.1063051620598,0.4692650854372691,-0.4692650854372691,130.1194406293694
3682.490644768983,3682.490644768983,-313.0243275027697,313.0243275027697,3680.843907929579
1771.61735239479,1771.61735239479,-176.5058145030483,176.5058145030483,1770.278731839494
8676.070037890317,8676.070037890317,213.6512900051075,-213.6512900051075,8676.802387838632
3399.501904255404,3399.501904255404,-271.1984626161803,271.1984626161803,3398.017002767327
5773.267439134362,5773.267439134362,-284.9905947100127,284.9905947100127,5772.069974587245
1809.481072326107,1809.481072326107,-178.3748300792644,178.3748300792644,1808.142500418529
6575.548745930076,6575.548745930076,97.02460656597957,-97.02460656597957,6575.930767331473
2872.535341031996,2872.535341031996,174.3296972381973,-174.3296972381973,2873.573929334717
7144.605992661893,7144.605992661893,425.8042534964429,-425.8042534964429,7146.214454602103
7528.390017798305,7528.390017798305,498.8925779136542,-498.8925779136542,7530.225913294364
8172.159848413379,8172.159848413379,625.6005162358324,-625.6005162358324,8174.369498569679
4921.365880442783,4921.365880442783,-357.6778425799423,357.6778425799423,4919.738163844955
915.6809118604945,915.6809118604945,35.55975493273539,-35.55975493273539,916.0561410824774
2501.215429293812,2501.215429293812,53.89553546040334,-53.89553546040334,2501.559507901506
9976.483999682738,9976.483999682738,-944.0877582827874,944.0877582827874,9973.466437254323
1664.525101200823,1664.525101200823,-60.6713329846932,60.6713329846932,1664.05034254908
9020.498845118327,9020.498845118327,-315.5865691376957,315.5865691376957,9019.437990280148
