longitude,latitude,distance,bathymetry
142.274976548,37.3361694545,110.731793087,-1004.47516559
142.27759227,37.3361966729,110.963449406,-1003.13205661
142.280207994,37.3362238337,111.195105725,-1001.8334029
142.28282372,37.3362509369,111.426762043,-1000.60180148
142.285439448,37.3362779826,111.65841836,-999.54291658
142.288055177,37.3363049706,111.890074677,-999.03800682
142.290670909,37.3363319011,112.121730994,-998.243618315
142.293286642,37.336358774,112.35338731,-996.909377362
142.295902378,37.3363855893,112.585043626,-994.982273706
142.298518115,37.336412347,112.816699942,-993.554708607
142.301133854,37.3364390471,113.048356256,-993.700305436
142.303749595,37.3364656896,113.280012571,-993.60395159
142.306365337,37.3364922746,113.511668885,-993.385867138
142.308981082,37.336518802,113.743325198,-993.216792442
142.311596828,37.3365452717,113.974981511,-994.666377833
142.314212576,37.3365716839,114.206637824,-997.869959572
142.316828326,37.3365980386,114.438294136,-1000.47287706
142.319444078,37.3366243356,114.669950447,-1002.20588882
142.322059831,37.336650575,114.901606759,-1002.67735546
142.324675587,37.3366767569,115.133263069,-1002.89206717
142.327291344,37.3367028812,115.36491938,-999.682774217
142.329907103,37.3367289478,115.596575689,-984.051856945
142.332522864,37.3367549569,115.828231999,-978.307283345
142.335138626,37.3367809084,116.059888308,-983.64974339
142.337754391,37.3368068024,116.291544616,-981.898179745
142.340370157,37.3368326387,116.523200924,-979.714989993
142.342985925,37.3368584175,116.754857232,-980.108146641
142.345601695,37.3368841386,116.986513539,-978.587042654
142.348217466,37.3369098022,117.218169845,-975.608275694
142.350833239,37.3369354082,117.449826152,-971.586251153
142.353449014,37.3369609566,117.681482457,-966.476383617
142.356064791,37.3369864474,117.913138763,-960.443366924
142.35868057,37.3370118807,118.144795068,-955.067159528
142.36129635,37.3370372563,118.376451372,-946.993532635
142.363912132,37.3370625744,118.608107676,-934.619321904
142.366527916,37.3370878349,118.839763979,-915.942719224
142.369143701,37.3371130377,119.071420283,-900.571795374
142.371759489,37.337138183,119.303076585,-902.136159543
142.374375278,37.3371632707,119.534732887,-908.539366576
142.376991069,37.3371883009,119.766389189,-917.561575769
142.379606861,37.3372132734,119.998045491,-922.778097275
